V0.p X,V0.p Y
2.339999999999994e-06,-0.0001733940003434245
2.349999999999992e-06,-0.000173941906711103
2.359999999999993e-06,-0.0001751901571465626
2.369999999999993e-06,-0.0001749847026507847
2.379999999999992e-06,-0.00017494730452671
2.389999999999993e-06,-0.0001749240791658703
2.399999999999993e-06,-0.0001749104128360234
2.409999999999993e-06,-0.0001726581680112526
2.419999999999993e-06,-0.0001440897635353968
2.429999999999993e-06,-0.0001462427715226909
2.439999999999993e-06,-0.0001465142288310357
2.449999999999992e-06,-0.0001463982562140743
2.459999999999992e-06,-0.0001465625483760876
2.469999999999992e-06,-0.00014643441304504
2.479999999999992e-06,-0.0001463820202708388
2.489999999999992e-06,-0.0001463527638639375
2.499999999999992e-06,-0.0001463344720733309
2.509999999999992e-06,-0.0001543574881596276
2.519999999999992e-06,-0.0001514254638465022
2.529999999999992e-06,-0.0001783077557127476
2.539999999999992e-06,-0.000172522952811064
2.549999999999991e-06,-0.0001721918704069792
2.559999999999991e-06,-0.0001728312673168056
2.569999999999991e-06,-0.0001723273530773042
2.579999999999991e-06,-0.0001722931017651381
2.589999999999991e-06,-0.0001722643033029301
2.599999999999991e-06,-0.0001722478068932917
2.609999999999991e-06,-0.0001672995372039495
2.619999999999991e-06,-0.0001730030244228332
2.629999999999991e-06,-0.0001475028466752545
2.639999999999991e-06,-0.0001476934247373754
2.649999999999991e-06,-0.0001477201408015749
2.65999999999999e-06,-0.0001479714166900548
2.66999999999999e-06,-0.0001477888771370611
2.67999999999999e-06,-0.0001477067789372958
2.68999999999999e-06,-0.0001476707060719575
2.69999999999999e-06,-0.0001476463957938901
2.709999999999991e-06,-0.0001526408339222147
2.71999999999999e-06,-0.000182646235694484
2.72999999999999e-06,-0.0001734065681056997
2.73999999999999e-06,-0.0001726599302376584
2.749999999999991e-06,-0.0001721201364964545
2.75999999999999e-06,-0.0001723851750522909
2.76999999999999e-06,-0.0001722672141673303
2.779999999999989e-06,-0.0001722331124514003
2.789999999999989e-06,-0.0001721827200710705
2.79999999999999e-06,-0.0001721637335768861
2.80999999999999e-06,-0.0001670602754646584
2.81999999999999e-06,-0.0001717083800057759
2.82999999999999e-06,-0.000177838542348731
2.83999999999999e-06,-0.0001480878975420392
2.84999999999999e-06,-0.0001475039190060298
2.85999999999999e-06,-0.0001478120234067
2.869999999999989e-06,-0.000147577995301411
2.879999999999989e-06,-0.0001475005184998503
2.889999999999989e-06,-0.0001474602276671611
2.899999999999989e-06,-0.000147436813012081
2.909999999999989e-06,-0.0002022150627473083
2.919999999999989e-06,-0.0001767026505509354
2.929999999999989e-06,-0.0001748163625942911
2.939999999999989e-06,-0.0001738739096678321
2.949999999999989e-06,-0.0001736356776834659
2.959999999999989e-06,-0.0001738492560346409
2.969999999999988e-06,-0.0001735622510321227
2.979999999999988e-06,-0.0001735004537884547
2.989999999999988e-06,-0.0001734689974279403
2.999999999999988e-06,-0.0001734570516202444
3.009999999999988e-06,-0.000166588865732647
3.019999999999988e-06,-0.0001698170149498001
3.029999999999988e-06,-0.0001726250101169351
3.039999999999988e-06,-0.0001725661431595363
3.049999999999988e-06,-0.0001727136505490345
3.059999999999988e-06,-0.0001730631405987044
3.069999999999988e-06,-0.000172801471973944
3.079999999999987e-06,-0.000172766045116054
3.089999999999987e-06,-0.0001727342033049892
3.099999999999987e-06,-0.0001727222221732632
3.109999999999987e-06,-0.0001702107327695942
3.119999999999987e-06,-0.0001461977811780441
3.129999999999987e-06,-0.0001469880127146564
3.139999999999987e-06,-0.0001471450081099289
3.149999999999987e-06,-0.0001471819225154354
3.159999999999988e-06,-0.0001473215211639164
3.169999999999987e-06,-0.0001471943822554008
3.179999999999986e-06,-0.0001471416907345978
3.189999999999986e-06,-0.0001471125882371259
3.199999999999987e-06,-0.0001470942371576107
3.209999999999987e-06,-0.0001539171520310854
3.219999999999987e-06,-0.0008883985169570998
3.229999999999986e-06,-0.0001739030368680464
3.239999999999987e-06,-0.0001723048434053464
3.249999999999987e-06,-0.0001721092197560542
3.259999999999987e-06,-0.0001721628425773457
3.269999999999987e-06,-0.000172075454266311
3.279999999999987e-06,-0.0001720344513016311
3.289999999999986e-06,-0.0001720004180862557
3.299999999999986e-06,-0.000171979781554924
3.309999999999986e-06,-0.0001675734667961494
3.319999999999986e-06,-0.000175312209370487
3.329999999999986e-06,-0.0001523519545391432
3.339999999999986e-06,-0.0001476075805970551
