I0.net070 X,I0.net070 Y,net20 X,net20 Y,net3 X,net3 Y,net7 X,net7 Y
6.000000000000015e-07,0.8209193120416554,6.000000000000015e-07,4.690460999407443e-07,6.000000000000015e-07,0.6150653611055865,6.000000000000015e-07,0.6
6.100000000000015e-07,0.6722947497998487,6.100000000000015e-07,1.199996548656382,6.100000000000015e-07,0.6153159625105385,6.100000000000015e-07,0.6
6.200000000000015e-07,0.5181072311696666,6.200000000000015e-07,1.199997572115415,6.200000000000015e-07,0.6155665397294953,6.200000000000015e-07,0.6
6.300000000000015e-07,0.4589251917183349,6.300000000000015e-07,1.199998006456652,6.300000000000015e-07,0.615817092366761,6.300000000000015e-07,0.6
6.400000000000015e-07,0.4484922577399535,6.400000000000015e-07,1.19999824511449,6.400000000000015e-07,0.6160676200266788,6.400000000000015e-07,0.6
6.500000000000006e-07,0.4464511418153908,6.500000000000006e-07,1.199998400389858,6.500000000000006e-07,0.6163181223136315,6.500000000000006e-07,0.6
6.600000000000015e-07,0.434634491465389,6.600000000000015e-07,1.199995842513628,6.600000000000015e-07,0.6165685988320416,6.600000000000015e-07,0.6
6.700000000000015e-07,0.434431306370681,6.700000000000015e-07,1.199997626571184,6.700000000000015e-07,0.6168190491863728,6.700000000000015e-07,0.6
6.800000000000016e-07,0.4344337025424694,6.800000000000016e-07,1.199998135188569,6.800000000000016e-07,0.6170694729811294,6.800000000000016e-07,0.6
6.900000000000017e-07,0.4344369808134613,6.900000000000017e-07,1.199998394348103,6.900000000000017e-07,0.6173198698208583,6.900000000000017e-07,0.6
7.000000000000017e-07,0.4344345308339609,7.000000000000017e-07,1.199998551209433,7.000000000000017e-07,0.6175702393101486,7.000000000000017e-07,0.6
7.100000000000017e-07,0.6056755971126047,7.100000000000017e-07,-1.042628897649645e-08,7.100000000000017e-07,0.6178205810536328,7.100000000000017e-07,0.6
7.200000000000017e-07,0.757988050435991,7.200000000000017e-07,-1.409546760836639e-10,7.200000000000017e-07,0.6180708946559871,7.200000000000017e-07,0.6
7.300000000000017e-07,0.8421643763658174,7.300000000000017e-07,2.280829932651098e-09,7.300000000000017e-07,0.6183211797219321,7.300000000000017e-07,0.6
7.400000000000017e-07,0.8576191737108836,7.400000000000017e-07,1.120535614340587e-09,7.400000000000017e-07,0.6185714358562335,7.400000000000017e-07,0.6
7.500000000000008e-07,0.8609615228877674,7.500000000000008e-07,5.034466565445299e-10,7.500000000000008e-07,0.6188216626637029,7.500000000000008e-07,0.6
