output noise; V**2 / Hz X,output noise; V**2 / Hz Y
11220.18454301956,3.913879683092612e-10
11481.53621496875,3.835716443097843e-10
11748.97554939522,3.759162326452451e-10
12022.64434617405,3.684183582147092e-10
12302.68770812373,3.61074716840295e-10
12589.25411794159,3.538820737334356e-10
12882.49551693125,3.468372619928386e-10
13182.56738556398,3.399371811448684e-10
13489.62882591644,3.331787956940154e-10
13803.84264602875,3.265591337269537e-10
14125.37544622745,3.20075285533569e-10
14454.39770745918,3.137244022628555e-10
14791.08388168197,3.075036946050634e-10
15135.61248436198,3.01410431504444e-10
15488.16618912471,2.954419388965956e-10
15848.93192461102,2.895955984764772e-10
16218.10097358919,2.838688464897135e-10
16595.86907437549,2.782591725512172e-10
16982.43652461732,2.727641184890964e-10
17378.00828749363,2.673812772116696e-10
17782.7941003891,2.621082916037598e-10
18197.0085860997,2.569428534379079e-10
18620.87136662854,2.518827023154006e-10
19054.60717963233,2.469256246286919e-10
19498.44599758031,2.420694525439843e-10
19952.62314968865,2.373120630087704e-10
20417.37944669514,2.326513767742955e-10
20892.96130854024,2.280853574483771e-10
21379.62089502216,2.23612010556688e-10
21877.61623949536,2.192293826338693e-10
22387.21138568323,2.149355603281457e-10
22908.67652767756,2.107286695291294e-10
23442.28815319905,2.066068745095354e-10
23988.32919019472,2.02568377087265e-10
24547.08915685012,1.986114158061436e-10
25118.86431509561,1.947342651331984e-10
25703.95782768844,1.90935234673007e-10
26302.67991895361,1.872126683980009e-10
26915.34803926895,1.835649438977829e-10
27542.28703338145,1.799904716397812e-10
28183.82931264431,1.764876942504581e-10
28840.31503126583,1.730550858079027e-10
29512.09226666362,1.696911511572098e-10
30199.51720401992,1.663944252262572e-10
30902.95432513566,1.631634723724626e-10
31622.77660168354,1.599968857334145e-10
32359.36569296257,1.568932865938163e-10
33113.11214825884,1.538513237685366e-10
33884.41561391998,1.508696729984123e-10
34673.68504525288,1.479470363582249e-10
35481.33892335725,1.450821416784322e-10
36307.80547700983,1.422737419814202e-10
37153.52290971694,1.395206149296611e-10
38018.9396320558,1.368215622855462e-10
38904.51449942774,1.341754093859031e-10
39810.71705534939,1.315810046299927e-10
40738.02778041093,1.290372189756193e-10
41686.93834703319,1.265429454525014e-10
42657.95188015891,1.240970986835409e-10
43651.58322401623,1.216986144236907e-10
44668.35921509593,1.193464491076002e-10
