/net21 X,/net21 YRe,/net21 YReImag
3.715352290971718,0.06312752508853617,-1.240328688525603e-07
3.801893963205605,0.06312752508852328,-1.269219655092733e-07
3.890451449942799,0.06312752508850976,-1.298783578721072e-07
3.981071705534965,0.06312752508849509,-1.329036134594239e-07
4.073802778041119,0.06312752508848025,-1.359993363017822e-07
4.168693834703346,0.06312752508846474,-1.391671677924085e-07
4.265795188015918,0.0631275250884485,-1.424087875574898e-07
4.365158322401651,0.06312752508843149,-1.45725914346733e-07
4.466835921509622,0.06312752508841366,-1.491203069446693e-07
4.570881896148741,0.06312752508839503,-1.525937651031838e-07
4.677351412871972,0.06312752508837502,-1.561481304957672e-07
4.786300923226373,0.06312752508835456,-1.597852876940003e-07
4.897788193684452,0.06312752508833315,-1.635071651667715e-07
5.011872336272712,0.06312752508831057,-1.673157363027804e-07
5.128613839913638,0.06312752508828709,-1.712130204568575e-07
5.248074602497715,0.06312752508826253,-1.75201084020646e-07
5.370317963702516,0.06312752508823628,-1.79282041518234e-07
5.495408738576233,0.06312752508820932,-1.834580567273068e-07
5.623413251903478,0.06312752508818106,-1.877313438264022e-07
5.754399373371556,0.0631275250881515,-1.921041685689036e-07
5.888436553555876,0.06312752508812011,-1.965788494843684e-07
6.025595860743564,0.06312752508808768,-2.011577591078496e-07
6.165950018614807,0.06312752508805362,-2.058433252378358e-07
6.309573444801917,0.06312752508801807,-2.106380322235103e-07
6.456542290346539,0.06312752508798039,-2.155444222819793e-07
6.606934480075944,0.06312752508794134,-2.205650968461973e-07
6.760829753919801,0.06312752508790052,-2.257027179442733e-07
6.918309709189348,0.06312752508785734,-2.309600096109148e-07
7.079457843841362,0.06312752508781258,-2.363397593317536e-07
7.244359600749883,0.06312752508776569,-2.418448195212989e-07
7.413102413009157,0.06312752508771606,-2.474781090353268e-07
7.585775750291819,0.0631275250876647,-2.532426147185076e-07
7.762471166286898,0.06312752508761042,-2.591413929880496e-07
7.943282347242794,0.06312752508755406,-2.651775714542745e-07
8.128305161640972,0.06312752508749453,-2.71354350578896e-07
8.317637711026689,0.06312752508743268,-2.776750053719692e-07
8.511380382023743,0.06312752508736755,-2.841428871283232e-07
8.709635899560784,0.06312752508729981,-2.907614252044787e-07
8.912509381337431,0.06312752508722884,-2.975341288369265e-07
