net1 X,net1 Y,net11 X,net11 Y,I0.\1  X,I0.\1  Y
4.204874911419189e-05,0.09538222123786122,4.204874911419189e-05,0.09475506814781649,4.204874911419189e-05,9.46840354435132e-06
4.205874911419189e-05,0.09579051569967112,4.205874911419189e-05,0.09516025083659049,4.205874911419189e-05,9.527938167081689e-06
4.206874911419189e-05,0.09619960637707947,4.206874911419189e-05,0.09556653140458722,4.206874911419189e-05,9.549561904419054e-06
4.207874911419189e-05,0.09660949262407625,4.207874911419189e-05,0.0959732894164322,4.207874911419189e-05,9.60924902139283e-06
4.208874911419189e-05,0.09702017379339523,4.208874911419189e-05,0.09638114283504344,4.208874911419189e-05,9.63103506012676e-06
4.20987491141919e-05,0.09743164923651459,4.20987491141919e-05,0.09678947351189517,4.20987491141919e-05,9.690874417789461e-06
4.21087491141919e-05,0.09784391830365857,4.21087491141919e-05,0.09719889711341595,4.21087491141919e-05,9.712822478894339e-06
4.21187491141919e-05,0.09825698034379815,4.21187491141919e-05,0.09760879778640268,4.21187491141919e-05,9.772813822351989e-06
4.21287491141919e-05,0.09867083470465177,4.21287491141919e-05,0.09801978889228938,4.21287491141919e-05,9.794923625958442e-06
4.21387491141919e-05,0.09908548073268708,4.21387491141919e-05,0.09843125688172913,4.21387491141919e-05,9.855066699357822e-06
4.214874911419191e-05,0.09950091777312098,4.214874911419191e-05,0.09884381280260114,4.214874911419191e-05,9.877337964242894e-06
4.215874911419191e-05,0.09991714516992256,4.215874911419191e-05,0.09925684541801351,4.215874911419191e-05,9.937632510559585e-06
4.216874911419191e-05,0.1003341622658109,4.216874911419191e-05,0.09967096345365442,4.216874911419191e-05,9.960064954857697e-06
4.217874911419191e-05,0.1007519684022601,4.217874911419191e-05,0.1000855579937857,4.217874911419191e-05,1.002051071584078e-05
4.218874911419191e-05,0.1011705629194963,4.218874911419191e-05,0.1005012354331421,4.218874911419191e-05,1.004310405672269e-05
4.219874911419191e-05,0.1015899451565023,4.219874911419191e-05,0.1009173891859417,4.219874911419191e-05,1.010370077254227e-05
